,section,sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,87Sr/86Sr_filtered,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca,age
0,,-,,,0.0,,,,,,,,,,,,,,880
1,P11A,P11A-3.2,Little Dal,3.2,3.2,0.4,-9.01,,,25.86,919.43,13447.92,58215.04,105115.34,49.31,403.66,29.74,0.91,879.8392475416845
2,P11A,P11A-4.7,Little Dal,4.7,4.7,0.88,-8.51,,,26.94,750.66,11029.81,49081.23,90907.85,42.62,341.69,28.09,0.89,879.7638948268491
3,P11A,P11A-8.3,Little Dal,8.3,8.3,0.55,-8.1,,,48.08,447.63,13197.55,33832.41,67991.62,33.52,270.88,21.3,0.82,879.5830483112442
4,P11A,P11A-9.1,Little Dal,9.1,9.1,0.48,-8.54,,,47.53,458.54,13891.15,33218.49,67233.24,34.77,275.34,21.04,0.81,879.5428601966653
5,P11A,P11A-10.5,Little Dal,10.5,10.5,0.29,-8.85,,,,,,,,,,,,879.4725309961523
6,P11A,P11A-30.0,Little Dal,30,30.0,0.8,-7.58,,,27.34,354.14,9837.91,76343.33,153589.44,77.25,568.53,7.31,0.82,878.4929457032921
7,P11A,P11A-33.0,Little Dal,33,33.0,0.3,-6.98,0.71141,,26.06,248.55,6854.3,71426.24,133585.27,70.34,504.8,5.64,0.88,878.3422402736213
8,P11A,P11A-36.2,Little Dal,36.2,36.2,0.29,-8.5,,,23.4,319.31,9340.28,92034.48,179112.13,116.58,499.2,4.37,0.85,878.1814878153058
9,P11A,P11A-37.1,Little Dal,37.1,37.1,0.27,-8.22,,,26.26,290.3,8987.65,74828.31,135056.04,90.78,361.4,5.1,0.91,878.1362761864045
10,P11A,P11A-38.6,Little Dal,38.6,38.6,0.41,-8.26,,,23.38,328.22,10135.05,100016.18,196825.65,134.17,565.93,3.9,0.84,878.0609234715691
11,P11A,P11A-39.6,Little Dal,39.6,39.6,1.01,-7.66,,,24.68,256.77,7387.96,84946.61,157914.71,112.35,685.44,3.65,0.89,878.0106883283455
12,P11A,P11A-40.9,Little Dal,40.9,40.9,0.13,-10.27,,,21.42,335.57,8254.16,83274.28,165665.86,123.7,383.27,4.33,0.83,877.9453826421549
13,P11A,P11A-41.5,Little Dal,41.5,41.5,0.16,-9.43,,,21.68,319.07,7335.53,71661.27,206048.79,145.01,403.6,3.51,0.57,877.9152415562207
14,P11A,P11A-41.8,Little Dal,41.8,41.8,0.62,-9.86,,,15.47,249.74,3762.69,12528.11,323275.65,188.03,612.07,2.12,0.06,877.9001710132536
15,P11A,P11A-43.5,Little Dal,43.5,43.5,0.81,-9.36,,,22.6,230.37,5773.16,66143.09,162228.99,113.9,358.93,3.23,0.67,877.8147712697735
16,P11A,P11A-44.5,Little Dal,44.5,44.5,0.57,-8.84,,,,,,,,,,,,877.7645361265498
17,P11A,P11A-46.7,Little Dal,46.7,46.7,0.43,-9.63,,,11.33,130.05,460.72,5120.13,366338.05,300.28,549.84,0.69,0.02,877.654018811458
18,P11A,P11A-50.5,Little Dal,50.5,50.5,0.95,-9.78,,,14.3,248.99,695.95,7575.06,353337.89,204.12,594.78,1.95,0.04,877.4631252672083
19,P11A,P11A-53.0,Little Dal,53,53.0,0.35,-8.96,,,,,,,,,,,,877.3375374091493
20,P11A,P11A-56.1,Little Dal,56.1,56.1,0.65,-8.79,,,9.18,420.05,567.35,4778.18,323457.18,267.79,542.39,2.5,0.02,877.1818084651561
21,P11A,P11A-58.6,Little Dal,58.6,58.6,1.37,-8.63,,,13.07,287.01,1038.84,5524.58,338791.37,267.81,550.28,1.71,0.03,877.0562206070971
22,P11A,P11A-62.4,Little Dal,62.4,62.4,1.21,-9.2,,,14.42,196.91,1028.39,4579.14,316812.76,251.37,503.18,1.25,0.02,876.8653270628474
23,P11A,P11A-64.5,Little Dal,64.5,64.5,1.4,-8.52,,,12.84,164.8,630.39,4790.87,361645.83,249.21,611.95,1.05,0.02,876.7598332620779
24,P11A,P11A-67.2,Little Dal,67.2,67.2,1.69,-8.9,,,14.65,131.63,700.41,5161.59,341363.81,344.4,553.79,0.61,0.02,876.6241983753741
25,P11A,P11A-68.4,Little Dal,68.4,68.4,1.12,-8.65,,,16.62,199.17,676.28,2637.03,361098.68,176.75,560.85,1.8,0.01,876.5639162035059
26,P11A,P11A-70.0,Little Dal,70,70.0,1.53,-10.88,,,10.86,203.6,569.27,4241.74,330949.73,260.35,504.0,1.25,0.02,876.4835399743481
27,P11A,P11A-71.4,Little Dal,71.4,71.4,1.59,-8.18,,,12.14,199.0,787.18,4980.77,342687.89,234.25,558.54,1.35,0.02,876.4132107738351
28,P11A,P11A-73.3,Little Dal,73.3,73.3,1.58,-8.6,,,11.4,114.76,298.4,6806.84,354730.68,305.19,555.88,0.6,0.03,876.3177640017102
29,P11A,P11A-75.9,Little Dal,75.9,75.9,2.17,-8.28,,,15.12,190.74,2030.54,46198.09,256765.95,163.28,603.68,1.86,0.3,876.1871526293288
30,P11A,P11A-78.1,Little Dal,78.1,78.1,1.68,-7.81,,,16.52,221.31,2287.94,56404.59,258850.9,114.91,515.38,3.07,0.36,876.0766353142369
31,P11A,P11A-84.8,Little Dal,84.8,84.8,2.73,-8.7,,,10.23,81.24,142.28,5234.89,332406.0,301.74,574.72,0.43,0.03,875.7400598546388
32,P11A,P11A-87.5,Little Dal,87.5,87.5,2.4,-8.0,,,9.81,86.17,304.17,7818.96,342763.43,191.63,520.18,0.72,0.04,875.6044249679351
33,P11A,P11A-91.4,Little Dal,91.4,91.4,3.26,-8.0,,,12.86,105.05,935.47,42219.84,293963.19,152.69,591.26,1.1,0.24,875.408507909363
34,P11A,P11A-93.7,Little Dal,93.7,93.7,2.72,-8.62,,,9.01,71.41,235.34,3193.65,353470.53,175.89,566.04,0.65,0.01,875.2929670799488
